[00:00] 最近Codex-APP的能力越來越全面
[22:23] 這個文件就是AA每次對話的時候必讀的一個指南
[22:27] 有了這個文件以後後續我們跟扣戴子所有對話
[22:30] 都會帶上這個文件的內容作為上項文
[22:33] 这个文件有助于帮助也更快的理解项目
[22:35] 比如这里我给A也补充一点上下文
[22:38] 我叫技术爬巴霞 擅长拍攝和扎网
[22:40] 对CSS141 跳不通
[22:42] 遇到网页样式的问题需要用大白化给我解释
[22:45] 我们回到Codex 新开一个对话
[22:47] 这里我询问Codex 我叫什么擅长什么技术
[22:51] 我们看到Codex 可以自动的读取A陈次点MD文件
[22:55] 然后把里面的内容自动作为上下文代入对话
[22:58] 如果自己编写A陈次点MD也有点麻烦
[23:01] 我们可以让Codex来帮我们编写
[23:04] 我让Codex通读当前面的家
[23:06] 把他学到的关于项目的知识
[23:08] 保存到A陈子的MD文件里面
[23:10] Codex为我们完成了A陈子的DMD文件的编写
[23:14] 把关于项目的重要知识都写入了这个文件
[23:17] 后续当我们开启心对话的时候
[23:19] Codex就会自动地获取这些知识
[23:22] 可以帮助他更快速的上手项目
[23:24] 所以对于负打项目来说
[23:26] A陈子的DMD是必须要写的
[23:28] 我们把A陈子的DMD放到项目的根目路
[23:31] 它只对当前这个项目生效
[23:33] Codex为我们提供了另外一种方式
[23:36] 可以编写全局的A4.RMD
[23:38] 可以对这台电脑上所有的项目生效
[23:40] 我们回到Codex 左下角设置
[23:43] 在个性化这里
[23:44] 自定一只令
[23:45] 这里编辑的就是全局的A4.RMD
[23:48] 也就是对所有项目都生效
[23:50] 最近看到一些朋友们说
[23:51] Codex有时候编写命令15
[23:53] 把自己的整个地盘都删除了
[23:55] 所以我一般会加上这么一个全局的提示词
[23:58] 禁止它使用矯本,批量刪除文件或者目入。
[24:01] 只能使用吨墨I-TEMO,一个一个文件进行刪除。
[24:05] 如果必须批量刪除文件,应该停止操作,让用户手动的批量刪除。
[24:10] 这些内容保存进了Codex全局的AZ-DRMD文件里面,我们可以来到C盘用户,你的用户名,
[24:17] 点Codex这个文件家,有一个AZ-DRMD文件。
[24:20] 这里面就是我们刚才添写的对所有项目生效的全局提示词。
[24:25] Codex技術功能还有一个实验性的特性
[24:28] 就是在下面
[24:29] 有一个秦技
[24:30] 开启后它可以从聊天里面生成新的技術
[24:33] 并且把它带入新的聊天
[24:35] 因为这个功能目前还是一个实验性的功能
[24:38] 这里我就不多做介绍了
[24:40] 我们在Codex左側边蓝点击插件
[24:43] 进入了Codex官方插件市场
[24:46] 我们看到这里有两类
[24:47] 一个是插件一个是技能
[24:49] 插件一般是第三方服务
[24:51] 为Codex编写的软件包
[24:53] 这些第三方软件把自己的能力用插件的形式注入Codex
[24:57] 我们看到能力已经非常的全面了
[24:59] 然后技能这一乐就是Azure Skills
[25:02] 爬拔下有一期完整视频介绍Azure Skills
[25:05] 我们下个张节再来看技能
[25:07] 这里还是看插件
[25:08] 这里我们安装两个插件来测试一下
[25:10] 首先第一个是给它不插件
[25:12] 然后我们再来一个机灭插件
[25:15] 让Codex可以控制我的谷歌优香
[25:17] 它自动在流染器谈出了谷歌的登陆窗口
[25:20] 我们先登陆一下
